id,name,required_level,item_level,quality,subclass,icon,use_description,reagents_summary,link
7068,Elemental Fire,1,25,Common,Elemental,spell_fire_fire,,1x Heart of Fire,https://www.wowhead.com/forever/item=7068/elemental-fire
7082,Essence of Air,1,55,Uncommon,Elemental,spell_nature_earthbind,,1x Essence of Water,https://www.wowhead.com/forever/item=7082/essence-of-air
7076,Essence of Earth,1,55,Uncommon,Elemental,spell_nature_strengthofearthtotem02,,1x Essence of Fire,https://www.wowhead.com/forever/item=7076/essence-of-earth
7078,Essence of Fire,1,55,Uncommon,Elemental,spell_fire_volcano,,1x Essence of Air,https://www.wowhead.com/forever/item=7078/essence-of-fire
12808,Essence of Undeath,1,55,Uncommon,Elemental,spell_shadow_shadetruesight,,1x Essence of Water,https://www.wowhead.com/forever/item=12808/essence-of-undeath
7080,Essence of Water,1,55,Uncommon,Elemental,spell_nature_acid_01,,1x Essence of Earth,https://www.wowhead.com/forever/item=7080/essence-of-water
12803,Living Essence,1,55,Uncommon,Elemental,spell_nature_abolishmagic,,1x Essence of Earth,https://www.wowhead.com/forever/item=12803/living-essence
5997,Elixir of Minor Defense,1,5,Common,Elixirs,inv_potion_63,Use: Increases armor by 50 for 1 hour. (3 Sec Cooldown),"1x Silverleaf, 1x Peacebloom, 1x Empty Vial",https://www.wowhead.com/forever/item=5997/elixir-of-minor-defense
247755,Elixir of Minor Force,1,5,Common,Elixirs,inv_potion_77,Use: Increases Physical damage by 1 for 30 min. (3 Sec Cooldown),"1x Silverleaf, 1x Empty Vial",https://www.wowhead.com/forever/item=247755/elixir-of-minor-force
247754,Minor Arcane Elixir,1,5,Common,Elixirs,inv_potion_106,Use: Increases spell damage by up to 5 for 30 min. (3 Sec Cooldown),"1x Peacebloom, 1x Empty Vial",https://www.wowhead.com/forever/item=247754/minor-arcane-elixir
2457,Elixir of Minor Agility,2,12,Common,Elixirs,inv_potion_91,Use: Increases Agility by 4 for 1 hour. (3 Sec Cooldown),"1x Swiftthistle, 1x Silverleaf, 1x Empty Vial",https://www.wowhead.com/forever/item=2457/elixir-of-minor-agility
2458,Elixir of Minor Fortitude,2,12,Common,Elixirs,inv_potion_42,Use: Increases the player's maximum health by 27 for 1 hour. (3 Sec Cooldown),"2x Earthroot, 1x Peacebloom, 1x Empty Vial",https://www.wowhead.com/forever/item=2458/elixir-of-minor-fortitude
