build_desc,aff_points,demo_points,destro_points,improved_life_tap,suppression,improved_corruption,malediction,soul_harvesting,improved_drains,improved_bane_of_agony,fel_concentration,amplify_curse,pandemic,malevolence,nightfall,curse_of_exhaustion,siphon_life,soul_siphon,shadow_mastery,wrack,improved_health_funnel,improved_imp,demonic_embrace,unholy_power,demonic_aegis,improved_voidwalker,fel_vitality,demonic_energies,improved_sayaad,demonic_sacrifice,master_summoner,decimation,fel_domination,demonic_brand,improved_felhunter,soul_link,demonic_knowledge,master_demonologist,demonic_pact,destructive_reach,improved_shadow_bolt,bane,molten_skin,cataclysm,aftermath,ruin,shadowburn,intensity,agonizing_flames,conflagrate,pyroclasm,bane_of_havoc,fire_and_brimstone,shadow_and_flame,incinerate,race_id,fight_duration,spell_power,shadow_power,fire_power,spell_hit_percent,spell_crit_percent,spell_haste_percent,intellect,spirit,stamina,max_mana,target_level,target_shadow_res,target_fire_res,curse_of_shadows,curse_of_elements,demon_setup,rotation_id,maintain_immolate,dps,dps_std,isb_uptime_percent,avg_life_taps,avg_mana_spent,avg_mana_gained
random_valid_51,11,25,15,1,4,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,5,3,0,3,3,0,1,1,1,1,0,1,0,0,1,0,0,2,3,5,2,1,1,0,1,0,0,0,0,0,0,0,0,2,110.023,482.507,50.3279,191.339,7.82161,13.654,22.7539,431.864,233.613,145.071,7870.96,60,64.0608,30.3368,1,0,3,0,0,591.541,24.1677,53.013,9,18413.3,8043.77
random_valid_51,13,19,19,0,4,3,2,2,1,0,0,1,0,0,0,0,0,0,0,0,2,3,4,5,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,4,2,3,2,1,1,2,0,1,0,0,0,0,0,0,71.8765,1036.61,140.339,170.714,4.45405,47.8596,32.5457,176.171,74.529,216.686,4035.57,61,16.5082,37.8868,1,0,3,0,1,1046.65,48.2177,77.1022,10,10628.1,6501.29
random_valid_51,12,33,6,2,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,5,4,2,0,3,2,3,1,0,1,0,2,3,1,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.371,184.247,141.636,56.9971,12.487,46.2501,31.2049,359.793,331.545,208.792,6789.9,62,34.0577,80.8093,0,1,2,0,0,540.894,18.6485,88.7148,12.745,21690.5,13896.2
random_valid_51,17,22,12,2,1,5,2,1,1,2,1,1,1,0,0,0,0,0,0,0,1,3,5,2,1,1,2,2,1,1,0,1,0,2,0,0,0,0,0,2,1,5,0,1,1,2,0,0,0,0,0,0,0,0,0,1,234.546,997.19,97.1728,124.876,15.2741,31.8137,29.3018,400.405,107.656,542.607,7399.08,62,57.1225,86.1173,1,0,3,0,0,1089.12,34.4651,84.6298,32,35797.3,26129.2
random_valid_51,29,18,4,2,4,5,2,2,1,2,2,1,2,2,1,0,1,0,2,0,2,3,3,1,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,230.799,888.026,37.7053,132.012,17.3002,46.6198,34.3444,139.83,257.012,417.95,3490.45,61,90.4391,118.696,1,0,1,0,0,852.763,28.0673,91.8943,29,33926.9,29207.6
random_valid_51,5,30,16,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,4,2,0,2,2,1,1,2,0,1,1,3,1,0,0,0,2,5,2,3,1,0,1,1,0,0,1,0,0,0,0,0,1,125.823,988.896,186.909,102.69,1.82228,38.646,16.7312,363.877,345.289,327.473,6851.15,60,47.315,48.8859,0,0,3,0,1,962.106,49.1956,79.2446,12,19221.9,12155.4
random_valid_51,9,23,19,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,1,3,3,2,0,1,0,0,0,0,0,0,0,0,0,2,5,5,1,2,0,1,1,1,1,0,0,0,0,0,0,3,252.339,758.788,171.278,6.85374,13.3851,48.945,2.62518,274.258,311.674,476.114,5506.87,62,82.3496,109.514,0,0,3,0,0,863.921,27.9908,86.6254,26.005,36529.3,27932
random_valid_51,8,33,10,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,1,3,1,1,3,1,2,2,1,2,1,1,0,1,0,1,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,277.664,949.526,96.5509,79.0091,7.24999,10.201,2.66373,434.094,242.346,499.368,7904.41,60,61.5348,10.1885,0,0,3,0,0,659.566,19.5667,45.3351,28.305,34528.5,25512.8
Aff/DP Brand,11,32,8,2,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,4,0,1,3,0,3,1,2,2,0,3,0,1,3,5,1,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,2,124.996,1247.14,81.2079,178.597,5.21951,6.87974,13.4361,451.545,184.065,379.5,8166.18,61,44.5042,28.1527,1,0,5,3,0,1298.91,38.7926,0,10,17865.8,9144.78
Shadow and Flame Fire,1,19,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,2,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,5,5,0,0,0,5,0,3,3,1,0,1,3,4,1,1,268.93,1394.79,33.3386,48.3959,3.22753,43.0563,6.11002,120.574,340.826,416.624,3201.62,61,44.7909,59.5462,1,1,1,10,1,1263.97,31.9012,0,39,40735.9,35656.2
Fire DS No Corr,7,12,32,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,5,1,0,2,1,0,1,3,5,1,2,228.856,1077.36,44.4791,113.513,17.0553,20.9041,7.79341,301.261,142.987,452.811,5911.92,62,51.1254,45.8285,1,0,4,2,1,1040.48,34.7767,0,30,33974.3,25847.5
