Rank,Spec Name,Race,Mean DPS,Min DPS,Max DPS,StdDev,ISB Uptime,DPS/SP,DPS/Hit,DPS/Crit,DPS/Haste,DPS/Int,DPS/Spirit
1,"12/31/8 Aff/DP Brand (Human)",Human,533.665,470.868,587.741,15.9747,0%,,,,,,
2,"12/31/8 Aff/DP Brand (Undead)",Undead,533.39,484.373,581.361,14.7587,0%,,,,,,
3,"12/31/8 Aff/DP Brand (Orc)",Orc,529.877,475.398,584.257,14.8582,0%,,,,,,
4,"12/31/8 Aff/DP Brand (Troll)",Troll,527.817,474.13,602.748,15.061,0%,,,,,,
5,"12/31/8 Aff/DP Brand (Gnome)",Gnome,527.489,476.51,589.257,15.5484,0%,,,,,,
6,"13/7/31 Aff Incinerate (Human)",Human,524.962,459.597,584.685,18.5799,0%,,,,,,
7,"12/31/8 Aff/DP (Human)",Human,523.851,462.194,581.244,18.1005,1615.84%,,,,,,
8,"2/31/18 DP/AF Shadow Corruption (Human)",Human,523.467,414.814,617.23,26.5203,1446.39%,,,,,,
9,"13/7/31 Aff Incinerate (Undead)",Undead,522.153,460.854,577.442,17.2402,0%,,,,,,
10,"12/31/8 Aff/DP (Undead)",Undead,520.711,460.802,580.123,16.8269,1161.48%,,,,,,
11,"12/31/8 Aff/DP (Orc)",Orc,518.597,449.665,578.432,17.0165,1153.21%,,,,,,
12,"13/7/31 Aff Incinerate (Orc)",Orc,518.374,450.637,571.884,17.292,0%,,,,,,
13,"12/31/8 Aff/DP (Gnome)",Gnome,517.253,461.589,574.411,16.8738,1193.72%,,,,,,
14,"2/31/18 DP/AF Shadow (Human)",Human,517.125,437.346,627.766,25.0642,1423.64%,,,,,,
15,"2/31/18 DP/AF Shadow Corruption (Undead)",Undead,516.598,423.389,603.849,24.7671,1054.34%,,,,,,
16,"2/31/18 DP/AF Shadow Corruption (Orc)",Orc,515.866,437.972,621.169,24.5834,1037.04%,,,,,,
17,"12/31/8 Aff/DP (Troll)",Troll,515.355,442.931,577.621,16.7705,1172.41%,,,,,,
18,"13/7/31 Aff Incinerate (Troll)",Troll,514.885,449.162,574.316,17.364,0%,,,,,,
19,"13/7/31 Aff Incinerate (Gnome)",Gnome,514.837,461.078,580.859,17.7223,0%,,,,,,
20,"2/31/18 DP/AF Shadow Corruption (Gnome)",Gnome,513.05,434.168,597.994,24.6063,1071.13%,,,,,,
21,"2/31/18 DP/AF Shadow Corruption (Troll)",Troll,512.177,441.375,588.2,23.9958,1030.05%,,,,,,
22,"2/31/18 DP/AF Shadow (Undead)",Undead,510.164,422.516,606.793,24.0515,1056.32%,,,,,,
23,"2/31/18 DP/AF Shadow (Orc)",Orc,508.351,432.878,599.571,23.6211,1056.43%,,,,,,
24,"2/31/18 DP/AF Shadow (Gnome)",Gnome,508.096,431.67,598.294,24.879,1081.69%,,,,,,
25,"7/13/31 Incinerate - Suppression + Succubus (Human)",Human,507.084,441.482,574.72,18.1263,0%,,,,,,
26,"2/31/18 DP/AF Shadow (Troll)",Troll,506.064,432.643,593.735,23.1436,1039.33%,,,,,,
27,"7/13/31 Incinerate - Suppression + Succubus (Undead)",Undead,504.975,443.192,578.999,17.2704,0%,,,,,,
28,"7/13/31 Incinerate - Suppression + Succubus (Orc)",Orc,501.44,440.339,563.654,17.3834,0%,,,,,,
29,"7/13/31 Incinerate - Suppression + Succubus (Gnome)",Gnome,499.199,436.402,566.324,18.4571,0%,,,,,,
30,"8/13/30 Shadow and Flame Shadow (Human)",Human,498.752,436.742,578.338,18.7862,764.575%,,,,,,
31,"7/13/31 Incinerate - Suppression + Succubus (Troll)",Troll,497.799,436.615,558.247,17.2388,0%,,,,,,
32,"8/13/30 Shadow and Flame Shadow (Undead)",Undead,495.882,429.506,564.418,18.0373,537.919%,,,,,,
33,"8/13/30 Shadow and Flame Shadow (Orc)",Orc,492.97,435.232,568.074,18.2364,529.037%,,,,,,
34,"8/13/30 Shadow and Flame Shadow (Troll)",Troll,488.911,422.342,550.21,17.4203,536.416%,,,,,,
35,"8/13/30 Shadow and Flame Shadow (Gnome)",Gnome,488.699,423.863,564.757,18.0933,572.961%,,,,,,
36,"10/10/31 Incinerate - Suppression + Imp (Undead)",Undead,478.55,411.834,541.119,18.0392,0%,,,,,,
37,"10/10/31 Incinerate - Suppression + Imp (Human)",Human,476.115,413.478,550.375,18.0131,0%,,,,,,
38,"10/10/31 Incinerate - Suppression + Imp (Orc)",Orc,473.987,412.344,546.422,17.8587,0%,,,,,,
39,"10/10/31 Incinerate - Suppression + Imp (Gnome)",Gnome,472.72,413.374,541.127,18.2446,0%,,,,,,
40,"10/10/31 Incinerate - Suppression + Imp (Troll)",Troll,470.571,399.209,539.251,18.0393,0%,,,,,,
41,"9/11/31 Incinerate - Suppression + DS (Human)",Human,453.34,394.994,515.99,19.5767,0%,,,,,,
42,"9/11/31 Incinerate - Suppression + DS (Undead)",Undead,450.616,389.847,532.947,18.2906,0%,,,,,,
43,"9/11/31 Incinerate - Suppression + DS (Orc)",Orc,448.165,374.256,511.937,18.581,0%,,,,,,
44,"9/11/31 Incinerate - Suppression + DS (Gnome)",Gnome,445.641,375.543,512.764,18.8517,0%,,,,,,
45,"9/11/31 Incinerate - Suppression + DS (Troll)",Troll,444.694,373.825,508.502,19.0541,0%,,,,,,
46,"5/11/35 DS/AF DS-Imp (Human)",Human,432.924,365.335,515.918,20.3189,690.659%,,,,,,
47,"5/11/35 DS/AF DS-Imp (Undead)",Undead,430.474,358.406,521.998,20.2018,514.058%,,,,,,
48,"5/11/35 DS/AF DS-Imp (Orc)",Orc,425.287,359.352,504.211,19.0169,485.148%,,,,,,
49,"5/11/35 DS/Searing Pain DS-Succ (Human)",Human,423.798,359.994,487.605,18.0171,0%,,,,,,
50,"5/11/35 DS/Searing Pain DS-Succ (Undead)",Undead,423.67,356.408,481.533,17.6859,0%,,,,,,
51,"5/11/35 DS/AF DS-Imp (Troll)",Troll,423.349,365.335,495.644,19.0549,516.547%,,,,,,
52,"5/11/35 DS/AF DS-Imp (Gnome)",Gnome,422.928,359.022,493.559,19.3755,528.358%,,,,,,
53,"5/11/35 DS/Searing Pain DS-Succ (Orc)",Orc,419.41,356.812,488.865,17.993,0%,,,,,,
54,"1/17/33 Incinerate - Decimate + Imp (Human)",Human,417.363,353.371,491.48,19.7183,0%,,,,,,
55,"1/17/33 Incinerate - Decimate + Imp (Undead)",Undead,417.013,350.372,482.523,18.8627,0%,,,,,,
56,"5/11/35 DS/Searing Pain DS-Succ (Troll)",Troll,416.339,342.493,473.052,17.3773,0%,,,,,,
57,"2/17/32 Shadow and Flame Shadow - Decimate (Undead)",Undead,414.316,330.737,483.304,19.8522,339.801%,,,,,,
58,"2/17/32 Shadow and Flame Shadow - Decimate (Human)",Human,414.043,350.232,482.339,20.1663,463.948%,,,,,,
59,"5/11/35 DS/Searing Pain DS-Succ (Gnome)",Gnome,413.759,331.325,474.384,17.0483,0%,,,,,,
60,"1/17/33 Incinerate - Decimate + Imp (Orc)",Orc,413.032,343.39,487.434,19.7534,0%,,,,,,
61,"1/17/33 Incinerate - Decimate + Imp (Gnome)",Gnome,412.759,336.415,486.265,18.9103,0%,,,,,,
62,"0/31/20 DP/AF Fire (Undead)",Undead,411.43,351.356,476.249,17.817,0%,,,,,,
63,"1/17/33 Incinerate - Decimate + Imp (Troll)",Troll,410.667,344.515,480.591,18.8395,0%,,,,,,
64,"7/11/33 Incinerate - Suppression + DS (No Corruption) (Human)",Human,410.393,350.905,488.91,19.2983,0%,,,,,,
65,"2/17/32 Shadow and Flame Shadow - Decimate (Orc)",Orc,410.343,343.437,492.343,19.4616,326.437%,,,,,,
66,"2/17/32 Shadow and Flame Shadow - Decimate (Gnome)",Gnome,408.901,346.129,472.565,18.324,342.929%,,,,,,
67,"7/11/33 Incinerate - Suppression + DS (No Corruption) (Undead)",Undead,407.894,350.824,475.834,18.7014,0%,,,,,,
68,"0/31/20 DP/AF Fire (Human)",Human,407.67,336.842,466.898,18.452,0%,,,,,,
69,"2/17/32 Shadow and Flame Shadow - Decimate (Troll)",Troll,407.146,340.009,469.25,19.7234,313.368%,,,,,,
70,"23/10/18 NF/AF (Human)",Human,406.803,335.339,503.925,22.4312,2886.01%,,,,,,
71,"7/11/33 Incinerate - Suppression + DS (No Corruption) (Gnome)",Gnome,406.581,343.702,469.162,18.0047,0%,,,,,,
72,"23/10/18 NF/AF (Undead)",Undead,404.535,332.201,521.297,21.4521,2486.09%,,,,,,
73,"0/31/20 DP/AF Fire (Gnome)",Gnome,402.552,342.36,480.569,17.6198,0%,,,,,,
74,"0/31/20 DP/AF Fire (Orc)",Orc,401.127,337.438,470.401,17.1676,0%,,,,,,
75,"7/11/33 Incinerate - Suppression + DS (No Corruption) (Orc)",Orc,400.94,339.697,457.055,18.076,0%,,,,,,
76,"7/11/33 Incinerate - Suppression + DS (No Corruption) (Troll)",Troll,400.74,328.941,468.481,18.1214,0%,,,,,,
77,"0/31/20 DP/AF Fire (Troll)",Troll,400.695,333.821,455.445,17.7296,0%,,,,,,
78,"23/10/18 NF/AF (Orc)",Orc,400.486,335.365,485.016,21.8583,2442.07%,,,,,,
79,"19/11/21 NF/DS/Ruin DS-Imp (Human)",Human,399.248,332.51,481.757,20.6743,1380.86%,,,,,,
80,"23/10/18 NF/AF (Gnome)",Gnome,399.062,334.822,491.057,21.6274,2465.74%,,,,,,
81,"23/10/18 NF/AF (Troll)",Troll,397.644,338.691,490.175,21.4067,2422.01%,,,,,,
82,"19/11/21 NF/DS/Ruin DS-Imp (Undead)",Undead,396.315,330.776,478.998,19.2702,990.153%,,,,,,
83,"32/0/19 SM/AF (Human)",Human,395.811,327.278,486.239,25.2504,2187.45%,,,,,,
84,"32/0/19 SM/AF (Undead)",Undead,392.907,327.657,487.997,23.2996,1883.33%,,,,,,
85,"19/11/21 NF/DS/Ruin DS-Imp (Orc)",Orc,392.529,331.31,468.485,19.3549,987.857%,,,,,,
86,"19/11/21 NF/DS/Ruin DS-Imp (Gnome)",Gnome,392.184,335.096,473.856,19.4049,1021.37%,,,,,,
87,"32/0/19 SM/AF (Gnome)",Gnome,389.604,315.944,495.406,24.3161,1902.57%,,,,,,
88,"32/0/19 SM/AF (Orc)",Orc,388.793,322.974,490.058,23.8476,1857.97%,,,,,,
89,"19/11/21 NF/DS/Ruin DS-Imp (Troll)",Troll,388.756,326.084,456.705,18.3614,956.486%,,,,,,
90,"40/11/0 Deep Affliction DS-Imp (Human)",Human,386.166,342.579,460.603,18.1975,0%,,,,,,
91,"32/0/19 SM/AF (Troll)",Troll,386.094,303.613,494.892,23.6236,1866.14%,,,,,,
92,"3/17/31 Incinerate - DS + Decimate (Human)",Human,383.976,303.609,448.792,20.023,0%,,,,,,
93,"40/11/0 Deep Affliction DS-Imp (Undead)",Undead,383.796,347.345,461.387,16.8371,0%,,,,,,
94,"40/11/0 Deep Affliction DS-Imp (Orc)",Orc,382.857,341.163,466.895,16.9348,0%,,,,,,
95,"3/17/31 Incinerate - DS + Decimate (Undead)",Undead,382.478,308.986,441.624,19.2776,0%,,,,,,
96,"40/11/0 Deep Affliction DS-Imp (Troll)",Troll,380.297,333.648,455.546,16.6891,0%,,,,,,
97,"40/11/0 Deep Affliction DS-Imp (Gnome)",Gnome,379.34,333.804,461.424,16.8074,0%,,,,,,
98,"3/17/31 Incinerate - DS + Decimate (Gnome)",Gnome,378.853,309.134,441.137,19.4302,0%,,,,,,
99,"3/17/31 Incinerate - DS + Decimate (Orc)",Orc,375.94,293.16,444.236,19.5483,0%,,,,,,
100,"3/17/31 Incinerate - DS + Decimate (Troll)",Troll,375.175,308.581,435.18,19.3427,0%,,,,,,
101,"35/6/10 Deep Affliction Imp (Human)",Human,359.492,322.759,446.038,16.9713,368.271%,,,,,,
102,"35/6/10 Deep Affliction Imp (Undead)",Undead,357.858,316.709,429.66,15.6474,336.799%,,,,,,
103,"35/6/10 Deep Affliction Imp (Orc)",Orc,355.965,318.935,428.149,15.8237,317.187%,,,,,,
104,"35/6/10 Deep Affliction Imp (Troll)",Troll,354.611,313.803,431.746,15.7496,345.393%,,,,,,
105,"35/6/10 Deep Affliction Imp (Gnome)",Gnome,353.656,311.245,429.075,15.9465,341.412%,,,,,,
